market,architecture,strategy,confidence_pct,sharpe_ratio,max_drawdown,var_95,n_trades,p_value
WDON,cnn,single_bar,100,-7.592731679804152,-3424.5,21.0,1753,2.764826723827664e-11
WDON,cnn,single_bar,75,-7.66871379751758,-2488.0,20.5,1315,5.754414513454639e-09
WDON,cnn,single_bar,50,-8.281825962080958,-1806.5,21.19999999999996,877,2.8935150382870885e-07
WDON,cnn,single_bar,25,-7.0800555648189505,-835.5,19.59999999999998,439,0.001881434288302445
WDON,cnn,single_bar,10,-10.480237563728467,-450.5,25.749999999999993,176,0.003828342324695991
WDON,cnn,single_bar,5,-7.872744354806577,-257.0,27.474999999999994,88,0.12311147035522288
WDON,cnn,multi_bar,100,-7.373733851273446,-4562.232702542883,22.968066232998353,1753,9.876045596217185e-11
WDON,cnn,multi_bar,75,-7.837256365821188,-3677.211709047908,22.968066232998353,1315,2.6806876922999836e-09
WDON,cnn,multi_bar,50,-9.540403517798616,-3007.5520402128996,22.968066232998353,877,3.733517733754775e-09
WDON,cnn,multi_bar,25,-11.220650848933417,-1804.1587817859308,22.968066232998353,439,1.0286284681512523e-06
WDON,cnn,multi_bar,10,-11.424847968301387,-785.2974571259638,22.968066232998353,176,0.0016571052859405732
WDON,cnn,multi_bar,5,-9.853544376241613,-389.61679479598024,22.968066232998353,88,0.05455529080895451
WDON,lstm,single_bar,100,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,lstm,single_bar,75,-8.60170598584921,-2704.0,19.64999999999997,1315,6.95987497409922e-11
WDON,lstm,single_bar,50,-9.545222964195622,-1818.5,18.09999999999998,877,3.6680579916767888e-09
WDON,lstm,single_bar,25,-7.9990550387548005,-774.5,17.0,439,0.00045404089691616917
WDON,lstm,single_bar,10,-8.918232501569266,-373.0,18.624999999999996,176,0.013549063058207822
WDON,lstm,single_bar,5,-7.629170787905966,-138.0,16.29999999999999,88,0.1349768440988921
WDON,lstm,multi_bar,100,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WDON,lstm,multi_bar,75,-5.373961278992082,-2542.8832052040198,22.968066232998353,1315,4.2315781021488915e-05
WDON,lstm,multi_bar,50,-5.648969961887354,-1748.8832052040198,22.968066232998353,877,0.00044249392585982166
WDON,lstm,multi_bar,25,-5.5389894905271095,-976.5319337670016,22.968066232998353,439,0.014811304463609468
WDON,lstm,multi_bar,10,-6.12413494095934,-451.4361324659967,22.968066232998353,176,0.08851812685724159
WDON,lstm,multi_bar,5,1.3099362369645822,-261.7445298639868,22.968066232998353,88,0.7962009794397513
WDON,hybrid,single_bar,100,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,hybrid,single_bar,75,-7.5006639653684,-2691.0,19.324999999999967,1448,2.2450194067732464e-09
WDON,hybrid,single_bar,50,-8.055391976190835,-1878.0,21.47499999999998,882,5.551223375776712e-07
WDON,hybrid,single_bar,25,-5.418962352240219,-712.0,21.0,440,0.01697654323014469
WDON,hybrid,single_bar,10,0.9043456213474346,-140.5,21.074999999999996,178,0.7995107412156542
WDON,hybrid,single_bar,5,-1.8624381348134247,-196.0,20.12499999999999,88,0.7135251519900527
WDON,hybrid,multi_bar,100,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WDON,hybrid,multi_bar,75,-4.816924831273387,-2550.447072738023,22.968066232998353,1448,0.00011636983222142357
WDON,hybrid,multi_bar,50,-5.099515520095324,-1779.9251921939704,22.968066232998353,882,0.0014589820312856622
WDON,hybrid,multi_bar,25,-4.051538969886546,-908.8403311649918,22.968066232998353,440,0.07387639999899087
WDON,hybrid,multi_bar,10,-3.0581645454893067,-461.61679479598024,22.968066232998353,178,0.39086404424237253
WDON,hybrid,multi_bar,5,-1.0788873660020037,-308.68066232998353,22.968066232998353,88,0.8315403349883125
WINN,cnn,single_bar,100,-1.1224405982948427,-51460.0,1105.0,1759,0.3211186559715258
WINN,cnn,single_bar,75,-1.3880165008247076,-48475.0,1105.0,1319,0.2880959512375876
