market,architecture,rmse,mae,directional_accuracy
WDON,cnn,35.32239367932722,28.719279140336056,0.4914383561643836
WDON,lstm,26.307442589571345,19.915527076252044,0.5108447488584474
WDON,hybrid,32.61415353113622,25.731195652980748,0.5085616438356164
WINN,cnn,9446.794255616818,9068.135141634752,0.5002842524161455
WINN,lstm,16179.250563605905,14843.983411280997,0.5002842524161455
WINN,hybrid,32414.16530928239,30908.27876834994,0.5002842524161455
