market,architecture,strategy,sharpe_ratio,max_drawdown,var_95,n_trades,p_value
WDON,cnn,single_bar,-7.304713952446411,-3246.5,20.5,1751,1.50038491751578e-10
WDON,cnn,multi_bar,-4.044643135276689,-2684.306726669831,22.963702036949144,1751,0.00036932315866279635
WDON,lstm,single_bar,-7.4625722765805005,-3316.5,20.5,1751,6.06623925739089e-11
WDON,lstm,multi_bar,-4.507818960069986,-2970.016342965424,22.963702036949144,1751,7.273661671791793e-05
WDON,hybrid,single_bar,-7.4625722765805005,-3316.5,20.5,1751,6.06623925739089e-11
WDON,hybrid,multi_bar,-4.507818960069986,-2970.016342965424,22.963702036949144,1751,7.273661671791793e-05
WINN,cnn,single_bar,-1.5221796501106277,-62560.0,1161.999999999999,1757,0.1787606679233327
WINN,cnn,multi_bar,-4.747723133906308,-102110.02242152422,619.7533632286941,1757,2.859054225603957e-05
WINN,lstm,single_bar,-2.2679652599380034,-75840.0,1161.999999999999,1757,0.04520692787178485
WINN,lstm,multi_bar,-5.4077903488935135,-121412.62331838504,619.7533632286941,1757,1.910707202505019e-06
WINN,hybrid,single_bar,-2.2679652599380034,-75840.0,1161.999999999999,1757,0.04520692787178485
WINN,hybrid,multi_bar,-5.4077903488935135,-121412.62331838504,619.7533632286941,1757,1.910707202505019e-06
