time,open,high,low,close,tick_volume,real_volume
2021-08-16 06:00:00,120550.0,120600.0,120015.0,120545.0,449949,1605958
2021-08-16 07:00:00,120545.0,120760.0,119520.0,119665.0,891214,3686397
2021-08-16 08:00:00,119670.0,119845.0,119320.0,119485.0,696148,2887241
2021-08-16 09:00:00,119480.0,119630.0,118820.0,119065.0,626011,2652527
2021-08-16 10:00:00,119060.0,119245.0,118700.0,119160.0,512914,2152149
2021-08-16 11:00:00,119165.0,119575.0,119075.0,119275.0,515206,2248883
2021-08-16 12:00:00,119275.0,119460.0,118870.0,119190.0,522796,2309075
2021-08-16 13:00:00,119190.0,119335.0,118980.0,119100.0,456541,2052921
2021-08-16 14:00:00,119100.0,119630.0,119065.0,119630.0,227323,942804
2021-08-17 06:00:00,119315.0,119340.0,118435.0,118835.0,877564,3006706
2021-08-17 07:00:00,118835.0,119125.0,118060.0,118210.0,1144568,4658910
2021-08-17 08:00:00,118205.0,118740.0,118110.0,118135.0,863282,3498704
2021-08-17 09:00:00,118140.0,118465.0,117610.0,117695.0,656317,2826348
2021-08-17 10:00:00,117700.0,117890.0,116685.0,116740.0,661220,2856203
2021-08-17 11:00:00,116745.0,117150.0,116220.0,116620.0,705433,3102945
2021-08-17 12:00:00,116620.0,117220.0,116465.0,117145.0,623172,2731220
2021-08-17 13:00:00,117150.0,117775.0,117060.0,117750.0,468185,2210179
2021-08-17 14:00:00,117745.0,117920.0,117125.0,117150.0,334930,1321431
2021-08-18 06:00:00,118890.0,118965.0,117965.0,118340.0,650214,2056038
2021-08-18 07:00:00,118335.0,118555.0,117465.0,118365.0,984572,3808892
2021-08-18 08:00:00,118365.0,118375.0,117290.0,117815.0,900121,3539711
2021-08-18 09:00:00,117815.0,118165.0,117485.0,118000.0,687539,2756307
2021-08-18 10:00:00,117995.0,118615.0,117610.0,118615.0,523371,2146419
2021-08-18 11:00:00,118610.0,119685.0,118570.0,119195.0,576639,2487281
2021-08-18 12:00:00,119195.0,119490.0,118275.0,118345.0,650373,2708352
2021-08-18 13:00:00,118345.0,118670.0,117135.0,117220.0,563778,2453046
2021-08-18 14:00:00,117225.0,117370.0,116470.0,116960.0,300148,1138909
2021-08-19 06:00:00,115200.0,115850.0,114825.0,115435.0,809439,2619569
2021-08-19 07:00:00,115440.0,116545.0,115435.0,116370.0,1121711,4095107
2021-08-19 08:00:00,116370.0,116750.0,115670.0,116280.0,946544,3723206
2021-08-19 09:00:00,116280.0,117025.0,115940.0,116950.0,742472,3035818
2021-08-19 10:00:00,116950.0,117695.0,116840.0,117515.0,566469,2364269
2021-08-19 11:00:00,117515.0,118415.0,117130.0,117610.0,713374,3067453
2021-08-19 12:00:00,117610.0,118095.0,117320.0,117985.0,627778,2816040
2021-08-19 13:00:00,117985.0,118270.0,117795.0,117945.0,507826,2274045
2021-08-19 14:00:00,117945.0,118245.0,117810.0,118040.0,244203,932057
2021-08-20 06:00:00,117280.0,117470.0,116670.0,116700.0,564807,2046538
2021-08-20 07:00:00,116700.0,117515.0,116425.0,117275.0,1101088,4305823
2021-08-20 08:00:00,117275.0,117795.0,117055.0,117715.0,917280,3344389
2021-08-20 09:00:00,117715.0,118315.0,117640.0,118110.0,582847,2136242
